N	Especie	Apendice	Categoria_nacional	UICN	Nativa_Endemica	Nombre_comun	Sinonimos	Autor	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10
167	Lafresnaya lafresnayi	II	-	LC	Nativa	Colibrí aterciopelado	Trochilus lafresnayi	(Boissonneau, 1840)										
						Colibrí de cola larga	Ornismya nuna											
168	Lesbia nuna	II	-	LC	Nativa			(Lesson, 1832)										
						verde	Lesbia gouldii											
						Colibrí de cola larga		(Bourcier & Mulsant,										
169	Lesbia victoriae	II	-	LC	Nativa		Trochilus victoriae											
						negra		1846)										
170	Leucippus baeri	II	-	LC	Nativa	Colibrí de Tumbes		Simon, 1901										
171	Leucippus chlorocercus	II	-	LC	Nativa	Colibrí blanco y olivo	Talaphorus chlorocercus	(Gould, 1866)										
172	Leucippus taczanowskii	II	-	LC	Endémica	Colibrí de	Thaumasius taczanowskii	(Sclater, 1879)										
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
						Taczanowski	Talaphorus taczanowskii											
						Colibrí cola de												
173	Loddigesia mirabilis	II	EN	EN	Endémica	espatula, Colibrí	Trochilus mirabilis	(Bourcier, 1847)										
						admirable												
			-				Polemistria chalybea											
174	Lophornis chalybeus	II		NT	Nativa	Coqueta verde		(Vieillot, 1823)										
							Trochilus chalybeus											
						Coqueta de cresta	Ornismya delattrei											
175	Lophornis delattrei	II	-	LC	Nativa			(Lesson, 1839)										
						rufa	Lophornis melaniae											
176	Lophornis stictolophus	II	-	LC	Nativa	Coqueta coronada		Salvin & Elliot, 1873										
							Metallura malagae											
177	Metallura aeneocauda	II	-	LC	Nativa	Colibrí escamoso		(Gould, 1846)										
							Trochilus aeneocauda											
						Colibrí de barba de												
178	Metallura eupogon	II	-	LC	Endémica		Urolampra eupogon	(Cabanis, 1874)										
						fuego												
179	Metallura odomae	II	NT	LC	Nativa	Colibrí de neblina		Graves, 1980										
180	Metallura phoebe	II	-	LC	Endémica	Colibrí negro	Ornismya phoebe	(Lesson & DeLattre, 1839)										
